Make,Total_passangers,Total_Injured,no_of accidents,Total_Fatal_Injuries,Year,accident_count
AERO COMMANDER,951.0,427.0,429,246.0,1982,17
AERO COMMANDER,951.0,427.0,429,246.0,1983,26
AERO COMMANDER,951.0,427.0,429,246.0,1984,19
AERO COMMANDER,951.0,427.0,429,246.0,1985,14
AERO COMMANDER,951.0,427.0,429,246.0,1986,25
AERO COMMANDER,951.0,427.0,429,246.0,1987,20
AERO COMMANDER,951.0,427.0,429,246.0,1988,13
AERO COMMANDER,951.0,427.0,429,246.0,1989,10
AERO COMMANDER,951.0,427.0,429,246.0,1990,10
AERO COMMANDER,951.0,427.0,429,246.0,1991,12
AERO COMMANDER,951.0,427.0,429,246.0,1992,10
AERO COMMANDER,951.0,427.0,429,246.0,1993,18
AERO COMMANDER,951.0,427.0,429,246.0,1994,15
AERO COMMANDER,951.0,427.0,429,246.0,1995,20
AERO COMMANDER,951.0,427.0,429,246.0,1996,13
AERO COMMANDER,951.0,427.0,429,246.0,1997,11
AERO COMMANDER,951.0,427.0,429,246.0,1998,16
AERO COMMANDER,951.0,427.0,429,246.0,1999,11
AERO COMMANDER,951.0,427.0,429,246.0,2000,8
AERO COMMANDER,951.0,427.0,429,246.0,2001,12
AERO COMMANDER,951.0,427.0,429,246.0,2002,12
AERO COMMANDER,951.0,427.0,429,246.0,2003,13
AERO COMMANDER,951.0,427.0,429,246.0,2004,10
AERO COMMANDER,951.0,427.0,429,246.0,2005,7
AERO COMMANDER,951.0,427.0,429,246.0,2006,5
AERO COMMANDER,951.0,427.0,429,246.0,2007,5
AERO COMMANDER,951.0,427.0,429,246.0,2008,8
AERO COMMANDER,951.0,427.0,429,246.0,2009,6
AERO COMMANDER,951.0,427.0,429,246.0,2010,11
AERO COMMANDER,951.0,427.0,429,246.0,2011,6
AERO COMMANDER,951.0,427.0,429,246.0,2012,3
AERO COMMANDER,951.0,427.0,429,246.0,2013,4
AERO COMMANDER,951.0,427.0,429,246.0,2014,5
AERO COMMANDER,951.0,427.0,429,246.0,2015,3
AERO COMMANDER,951.0,427.0,429,246.0,2016,5
AERO COMMANDER,951.0,427.0,429,246.0,2017,4
AERO COMMANDER,951.0,427.0,429,246.0,2018,8
AERO COMMANDER,951.0,427.0,429,246.0,2019,3
AERO COMMANDER,951.0,427.0,429,246.0,2020,4
AERO COMMANDER,951.0,427.0,429,246.0,2021,3
AERO COMMANDER,951.0,427.0,429,246.0,2022,4
AERONCA,1048.0,442.0,636,118.0,1982,29
AERONCA,1048.0,442.0,636,118.0,1983,27
AERONCA,1048.0,442.0,636,118.0,1984,28
AERONCA,1048.0,442.0,636,118.0,1985,16
AERONCA,1048.0,442.0,636,118.0,1986,22
AERONCA,1048.0,442.0,636,118.0,1987,25
AERONCA,1048.0,442.0,636,118.0,1988,29
AERONCA,1048.0,442.0,636,118.0,1989,26
AERONCA,1048.0,442.0,636,118.0,1990,14
AERONCA,1048.0,442.0,636,118.0,1991,29
AERONCA,1048.0,442.0,636,118.0,1992,13
AERONCA,1048.0,442.0,636,118.0,1993,14
AERONCA,1048.0,442.0,636,118.0,1994,21
AERONCA,1048.0,442.0,636,118.0,1995,17
AERONCA,1048.0,442.0,636,118.0,1996,20
AERONCA,1048.0,442.0,636,118.0,1997,7
AERONCA,1048.0,442.0,636,118.0,1998,16
AERONCA,1048.0,442.0,636,118.0,1999,11
AERONCA,1048.0,442.0,636,118.0,2000,21
AERONCA,1048.0,442.0,636,118.0,2001,12
AERONCA,1048.0,442.0,636,118.0,2002,10
AERONCA,1048.0,442.0,636,118.0,2003,11
AERONCA,1048.0,442.0,636,118.0,2004,12
AERONCA,1048.0,442.0,636,118.0,2005,17
AERONCA,1048.0,442.0,636,118.0,2006,5
AERONCA,1048.0,442.0,636,118.0,2007,16
AERONCA,1048.0,442.0,636,118.0,2008,7
AERONCA,1048.0,442.0,636,118.0,2009,15
AERONCA,1048.0,442.0,636,118.0,2010,14
AERONCA,1048.0,442.0,636,118.0,2011,12
AERONCA,1048.0,442.0,636,118.0,2012,11
AERONCA,1048.0,442.0,636,118.0,2013,10
AERONCA,1048.0,442.0,636,118.0,2014,12
AERONCA,1048.0,442.0,636,118.0,2015,10
AERONCA,1048.0,442.0,636,118.0,2016,15
AERONCA,1048.0,442.0,636,118.0,2017,10
AERONCA,1048.0,442.0,636,118.0,2018,10
AERONCA,1048.0,442.0,636,118.0,2019,8
AERONCA,1048.0,442.0,636,118.0,2020,6
AERONCA,1048.0,442.0,636,118.0,2021,11
AERONCA,1048.0,442.0,636,118.0,2022,17
AEROSPATIALE,3319.0,708.0,388,349.0,1982,26
AEROSPATIALE,3319.0,708.0,388,349.0,1983,17
AEROSPATIALE,3319.0,708.0,388,349.0,1984,24
AEROSPATIALE,3319.0,708.0,388,349.0,1985,14
AEROSPATIALE,3319.0,708.0,388,349.0,1986,13
AEROSPATIALE,3319.0,708.0,388,349.0,1987,6
AEROSPATIALE,3319.0,708.0,388,349.0,1988,21
AEROSPATIALE,3319.0,708.0,388,349.0,1989,18
AEROSPATIALE,3319.0,708.0,388,349.0,1990,18
