Make,Total_passangers,Total_Injured,no_of accidents,Total_Fatal_Injuries
AERO COMMANDER,951.0,427.0,429,246.0
AERONCA,1048.0,442.0,636,118.0
AEROSPATIALE,3319.0,708.0,388,349.0
AIR TRACTOR,1007.0,402.0,908,161.0
AIRBUS,46043.0,3378.0,476,2521.0
ATR,864.0,250.0,35,185.0
BALLOON WORKS,530.0,217.0,147,14.0
BEECH,14557.0,6221.0,5376,3786.0
BELL,6730.0,3378.0,2766,1355.0
BELLANCA,1767.0,780.0,1045,345.0
BOEING,222550.0,13686.0,2746,8748.0
BOMBARDIER,5030.0,217.0,145,134.0
"BOMBARDIER, INC.",1270.0,58.0,23,49.0
BRITISH AEROSPACE,2345.0,337.0,90,244.0
CANADAIR,1150.0,117.0,68,53.0
CESSNA,57273.0,21407.0,27145,9638.0
CHAMPION,834.0,333.0,519,135.0
CIRRUS,752.0,375.0,372,222.0
DE HAVILLAND,2830.0,655.0,391,308.0
DEHAVILLAND,672.0,221.0,131,123.0
DOUGLAS,10154.0,1336.0,281,984.0
EMBRAER,7105.0,703.0,236,436.0
ENSTROM,563.0,181.0,296,49.0
EUROCOPTER,716.0,359.0,220,186.0
FAIRCHILD,1406.0,278.0,161,146.0
FOKKER,3352.0,372.0,66,221.0
GRUMMAN,1960.0,687.0,1172,248.0
HUGHES,1956.0,776.0,932,203.0
LEARJET,574.0,190.0,134,133.0
LOCKHEED,8770.0,602.0,123,326.0
LUSCOMBE,631.0,239.0,414,71.0
MAULE,1095.0,271.0,589,110.0
MCDONNELL DOUGLAS,45061.0,3278.0,530,1273.0
MCDONNELL DOUGLAS AIRCRAFT CO,4111.0,69.0,84,13.0
MOONEY,2736.0,1324.0,1334,685.0
NORTH AMERICAN,760.0,313.0,383,191.0
PIPER,32190.0,13504.0,14869,6688.0
ROBINSON,2436.0,1157.0,1229,618.0
ROCKWELL,689.0,310.0,355,198.0
SAAB-SCANIA AB (SAAB),838.0,42.0,44,24.0
SCHWEIZER,1141.0,409.0,773,89.0
SHORT BROTHERS,765.0,26.0,35,13.0
SIKORSKY,925.0,417.0,233,193.0
STINSON,826.0,293.0,439,71.0
SWEARINGEN,1095.0,196.0,179,107.0
TAYLORCRAFT,626.0,295.0,383,78.0
TUPOLEV,511.0,509.0,4,509.0
